WPN_WEAK_BARRICADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_WEAK_BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_WEAK_BARR_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EnemyDamage,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HeroDamage,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

WPN_HEAVY_BARRICADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_HEAVY_BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_HEAVY_BARR_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EnemyDamage,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HeroDamage,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

WPN_ELECTRO_BARRICADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_ELECTRO_BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_ELECTRO_BARR_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EnemyDamage,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HeroDamage,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ExplosionDamage,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ExplosionRadius,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

WPN_PLASMA_BARRICADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_PLASMA_BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_PLASMA_BARR_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EnemyDamage,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HeroDamage,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

WPN_TIME_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_TIME_BOMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_TIME_BOMB_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AwarenessRange,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRange,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRate,time slow scale,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration,time bubble duration and time after explosion before mine can be rearmed,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_PLASMA_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
